voltage,temp,rel time,abs time
+9.03246593E+00,33.918457,0.0,2022-07-03 21:00:35.177073
+9.03246527E+00,33.999023,1.169,2022-07-03 21:00:36.346271
+9.03246284E+00,33.918457,2.333,2022-07-03 21:00:37.509711
+9.03246288E+00,33.837891,3.494,2022-07-03 21:00:38.671293
+9.03246266E+00,33.918457,4.657,2022-07-03 21:00:39.833762
+9.03246480E+00,33.999023,5.819,2022-07-03 21:00:40.995942
+9.03246511E+00,33.757324,6.982,2022-07-03 21:00:42.159012
+9.03246580E+00,34.160156,8.145,2022-07-03 21:00:43.322277
+9.03246518E+00,34.160156,9.307,2022-07-03 21:00:44.483559
+9.03246683E+00,33.918457,10.47,2022-07-03 21:00:45.646633
+9.03246530E+00,33.918457,11.632,2022-07-03 21:00:46.808798
+9.03246606E+00,34.079590,12.794,2022-07-03 21:00:47.970515
+9.03246606E+00,33.918457,13.958,2022-07-03 21:00:49.135394
+9.03246623E+00,34.160156,15.13,2022-07-03 21:00:50.307029
+9.03246414E+00,33.999023,16.291,2022-07-03 21:00:51.468086
+9.03246619E+00,34.965820,17.454,2022-07-03 21:00:52.631271
+9.03246566E+00,34.160156,18.617,2022-07-03 21:00:53.793732
+9.03246396E+00,33.918457,19.78,2022-07-03 21:00:54.956441
+9.03246497E+00,33.918457,20.941,2022-07-03 21:00:56.118336
+9.03246626E+00,34.160156,22.104,2022-07-03 21:00:57.281285
+9.03246724E+00,33.999023,23.267,2022-07-03 21:00:58.443833
+9.03246754E+00,33.999023,24.429,2022-07-03 21:00:59.606179
+9.03246776E+00,34.160156,25.592,2022-07-03 21:01:00.768698
+9.03246696E+00,33.918457,26.755,2022-07-03 21:01:01.931999
+9.03246425E+00,33.999023,27.917,2022-07-03 21:01:03.094211
+9.03246684E+00,33.837891,29.082,2022-07-03 21:01:04.259231
+9.03246729E+00,33.757324,30.252,2022-07-03 21:01:05.428896
+9.03246922E+00,33.999023,31.414,2022-07-03 21:01:06.591336
+9.03246775E+00,33.918457,32.577,2022-07-03 21:01:07.753808
+9.03246892E+00,33.515625,33.738,2022-07-03 21:01:08.915419
+9.03247008E+00,34.160156,34.901,2022-07-03 21:01:10.078275
+9.03246941E+00,33.999023,36.065,2022-07-03 21:01:11.242295
+9.03246861E+00,33.354492,37.226,2022-07-03 21:01:12.402903
+9.03246950E+00,33.918457,38.389,2022-07-03 21:01:13.566437
+9.03246972E+00,33.918457,39.551,2022-07-03 21:01:14.727840
