voltage,temp,rel time,abs time,volt dif,ppm
10.59639,33.273926,0,40:26.8,0.00000,0.000
10.59639,33.515625,1.9,40:28.7,0.00000,-0.849
10.59639,33.596191,3.069,40:29.8,0.00000,-1.887
10.59639,33.515625,4.236,40:31.0,0.00000,-2.454
10.59639,33.273926,5.398,40:32.2,0.00000,-2.831
10.59639,32.871094,6.56,40:33.3,0.00000,-1.699
10.59639,33.354492,7.723,40:34.5,0.00000,-1.321
10.59639,33.273926,8.885,40:35.6,0.00000,-0.283
10.59639,33.354492,10.048,40:36.8,0.00000,0.377
10.59639,33.354492,11.21,40:38.0,0.00000,0.094
10.59639,33.273926,12.373,40:39.1,0.00000,0.661
10.59639,32.548828,13.534,40:40.3,0.00000,0.094
10.59639,33.193359,14.697,40:41.5,0.00000,-0.189
10.59639,33.273926,15.861,40:42.6,0.00000,0.849
10.59640,33.354492,17.032,40:43.8,0.00000,1.793
10.59640,33.193359,18.195,40:45.0,0.00000,1.321
10.59640,33.273926,19.356,40:46.1,0.00000,2.171
10.59639,33.354492,20.519,40:47.3,0.00000,0.000
10.59639,33.273926,21.682,40:48.4,0.00000,-0.755
10.59639,33.354492,22.844,40:49.6,0.00000,-0.849
10.59639,33.515625,24.006,40:50.8,0.00000,0.094
10.59639,33.515625,25.17,40:51.9,0.00000,-0.472
10.59639,33.273926,26.331,40:53.1,0.00000,-0.944
10.59639,33.354492,27.494,40:54.3,0.00000,-0.566
10.59639,33.193359,28.657,40:55.4,0.00000,0.094
10.59639,33.273926,29.819,40:56.6,0.00000,0.755
10.59639,33.112793,30.981,40:57.7,0.00000,1.227
10.59639,33.435059,32.144,40:58.9,0.00000,0.566
10.59639,33.354492,33.308,41:00.1,0.00000,-0.283
10.59639,32.629395,34.479,41:01.2,0.00000,1.227
10.59640,33.435059,35.641,41:02.4,0.00000,2.359
10.59640,33.354492,36.805,41:03.6,0.00000,2.454
10.59640,33.273926,37.966,41:04.7,0.00000,1.982
10.59639,32.629395,39.129,41:05.9,0.00000,0.944
10.59639,33.354492,40.291,41:07.1,0.00000,0.661
10.59640,33.354492,41.453,41:08.2,0.00000,1.699
10.59640,33.354492,42.617,41:09.4,0.00000,1.510
10.59640,33.273926,43.778,41:10.5,0.00000,1.793
