pwmcount, residuebefore, residueafter,diff
5,2152,1894,-258
5,1915,1959,44
5,2004,1793,-211
5,1825,1671,-154
5,1705,2046,341
5,2089,1663,-426
5,1699,1751,52
5,1785,2022,237
5,2065,1855,-210
5,1887,2120,233
5,2166,2153,-13
5,2198,1732,-466
5,1767,1804,37
5,1839,1879,40
5,1914,2149,235
5,2196,1613,-583
5,1646,2048,402
5,2090,1768,-322
5,1801,1640,-161
5,1673,1514,-159
5,1548,2147,599
5,2194,1819,-375
5,1852,1796,-56
5,1828,2063,235
5,2108,1574,-534
5,1610,1703,93
5,1738,1783,45
5,1817,1857,40
5,1889,2382,493
5,2428,1844,-584
5,1876,1759,-117
5,1794,2181,387
5,2227,2202,-25
5,2249,1823,-426
5,1857,1893,36
5,1915,2262,347
5,2308,1876,-432
5,1911,2043,132
5,2087,1777,-310
5,1811,2258,447
5,2304,2384,80
5,2429,1911,-518
5,1930,1791,-139
5,1826,2009,183
5,2055,1782,-273
5,1815,2000,185
5,2048,2236,188
5,2283,1707,-576
5,1741,1636,-105
5,1671,2020,349
5,2065,2149,84
5,2196,1821,-375
5,1855,1533,-322
5,1567,1726,159
5,1761,2154,393
5,2200,1822,-378
5,1855,1642,-213
5,1676,2123,447
5,2174,2050,-124
5,2097,1523,-574
5,1558,2167,609
5,2213,2048,-165
5,2092,2334,242
5,2380,1746,-634
5,1782,1723,-59
5,1758,2056,298
5,2100,2184,84
5,2232,2118,-114
5,2164,1588,-576
5,1623,2072,449
5,2117,2149,32
5,2197,2218,21
5,2263,1633,-630
5,1668,1551,-117
5,1585,1780,195
5,1814,2310,496
5,2353,1615,-738
5,1649,2159,510
5,2204,1931,-273
5,1974,1562,-412
5,1596,1899,303
5,1920,2288,368
5,2334,1867,-467
5,1901,2300,399
5,2344,2176,-168
5,2224,1903,-321
5,1924,2179,255
5,2225,1488,-737
5,1524,1916,392
5,1962,2201,239
5,2247,2230,-17
5,2278,1649,-629
5,1684,1976,292
5,2020,2006,-14
5,2050,1935,-115
5,1980,2128,148
5,2176,2166,-10
5,2214,2092,-122
5,2138,1719,-419
5,1753,1799,46
5,1832,1976,144
5,2021,2059,38
5,2105,1935,-170
5,1979,2173,194
5,2218,2150,-68
5,2197,1521,-676
5,1556,1869,313
5,1903,1847,-56
5,1881,2125,244
5,2170,1951,-219
5,1995,1990,-5
5,2035,2237,202
5,2282,1500,-782
5,1535,2044,509
5,2089,1827,-262
5,1861,2362,501
5,2411,1673,-738
5,1707,2311,604
5,2357,2188,-169
5,2232,2116,-116
5,2162,1897,-265
5,1918,1458,-460
5,1491,1480,-11
5,1515,1868,353
5,1903,1741,-162
5,1775,1836,61
5,1870,1772,-98
5,1806,2109,303
5,2154,1736,-418
5,1769,2070,301
5,2116,1496,-620
5,1530,2243,713
5,2290,1673,-617
5,1707,1710,3
5,1743,1479,-264
5,1514,2172,658
5,2216,1753,-463
5,1787,2149,362
5,2194,1791,-403
5,1825,1616,-209
5,1651,1917,266
5,1936,2292,356
5,2337,1823,-514
5,1858,1857,-1
5,1889,2147,258
5,2192,1463,-729
5,1499,2004,505
5,2048,2093,45
5,2137,1619,-518
5,1652,2054,402
5,2100,2342,242
5,2388,2010,-378
5,2053,1637,-416
5,1673,1882,209
5,1915,2113,198
5,2159,1696,-463
5,1731,2282,551
5,2328,2109,-219
5,2155,1835,-320
5,1868,1549,-319
5,1585,1691,106
5,1725,1727,2
5,1763,1966,203
5,2009,1650,-359
5,1685,2392,707
5,2438,1761,-677
5,1795,1583,-212
5,1617,2227,610
5,2272,1763,-509
5,1797,2192,395
5,2238,1721,-517
5,1756,2009,253
5,2055,1848,-207
5,1882,1779,-103
5,1814,1968,154
5,2012,2059,47
5,2105,2000,-105
5,2045,1935,-110
5,1981,1674,-307
5,1708,2057,349
5,2104,1991,-113
5,2037,1889,-148
5,1923,2064,141
5,2109,1695,-414
5,1728,2034,306
5,2080,1726,-354
5,1762,2010,248
5,2055,2044,-11
5,2090,1733,-357
5,1767,1872,105
5,1907,1960,53
5,2004,1637,-367
5,1670,1671,1
5,1706,1654,-52
5,1691,1844,153
5,1878,2078,200
5,2124,1964,-160
5,2010,1865,-145
5,1897,2102,205
5,2146,2339,193
5,2388,2160,-228
5,2208,1744,-464
5,1779,2017,238
5,2061,1551,-510
5,1585,2091,506
5,2136,2086,-50
5,2131,1819,-312
5,1852,1855,3
5,1891,1936,45
5,1981,2125,144
5,2170,2017,-153
5,2061,1914,-147
5,1934,1991,57
5,2037,1932,-105
5,1978,2286,308
5,2332,2388,56
5,2434,2072,-362
5,2115,2211,96
5,2256,1750,-506
5,1784,1978,194
5,2023,1669,-354
5,1701,1916,215
5,1936,1950,14
5,1994,1848,-146
5,1882,1785,-97
5,1818,2225,407
5,2272,2264,-8
5,2308,1782,-526
5,1815,1712,-103
5,1745,2058,313
5,2104,1944,-160
5,1988,1691,-297
5,1724,2236,512
5,2282,1559,-723
5,1592,1537,-55
5,1573,1736,163
5,1771,1882,111
5,1916,1872,-44
5,1907,2056,149
5,2104,1992,-112
5,2036,1530,-506
5,1564,2282,718
5,2327,2123,-204
5,2168,2207,39
5,2252,1992,-260
5,2037,1935,-102
5,1980,1970,-10
5,2015,2216,201
5,2261,2051,-210
5,2096,1483,-613
5,1518,1479,-39
5,1515,1979,464
5,2024,1614,-410
5,1647,2211,564
5,2258,1483,-775
5,1517,1676,159
5,1711,2114,403
5,2160,2100,-60
5,2146,1793,-353
5,1825,2181,356
5,2226,1871,-355
5,1904,2156,252
5,2202,2147,-55
5,2191,2080,-111
5,2127,1967,-160
5,2011,2213,202
5,2257,1892,-365
5,1912,2030,118
5,2077,1921,-156
5,1966,2051,85
5,2096,2184,88
5,2231,1819,-412
5,1853,1751,-102
5,1784,1732,-52
5,1767,2011,244
5,2055,2374,319
5,2421,2195,-226
5,2240,1831,-409
5,1864,1771,-93
5,1803,1704,-99
5,1737,2196,459
5,2242,2237,-5
5,2282,2328,46
5,2373,2056,-317
5,2099,1839,-260
5,1873,1511,-362
5,1545,1992,447
5,2038,1683,-355
5,1717,2329,612
5,2376,1759,-617
5,1791,1989,198
5,2033,1924,-109
5,1971,1877,-94
5,1909,1606,-303
5,1641,2049,408
5,2096,1693,-403
5,1728,1886,158
5,1919,1971,52
5,2016,2115,99
5,2161,1814,-347
5,1849,2314,465
5,2360,1798,-562
5,1827,2140,313
5,2188,1729,-459
5,1761,2166,405
5,2212,1759,-453
5,1793,2212,419
5,2256,2092,-164
5,2138,2076,-62
5,2122,1758,-364
5,1791,2045,254
5,2088,2297,209
5,2342,2384,42
5,2429,1715,-714
5,1749,2099,350
5,2148,1533,-615
5,1565,1525,-40
5,1559,2385,826
5,2432,2062,-370
5,2110,2004,-106
5,2049,1795,-254
5,1829,1834,5
5,1867,2220,353
5,2266,1957,-309
5,2001,1704,-297
5,1738,1754,16
5,1787,1701,-86
5,1735,2032,297
5,2077,1676,-401
5,1710,1926,216
5,1943,1819,-124
5,1852,1824,-28
5,1859,1806,-53
5,1839,1533,-306
5,1568,1521,-47
5,1556,1726,170
5,1761,1562,-199
5,1596,1712,116
5,1746,1825,79
5,1858,2269,411
5,2315,1911,-404
5,1928,1993,65
5,2037,2133,96
5,2180,1778,-402
5,1812,2076,264
5,2123,2116,-7
5,2162,2102,-60
5,2148,1731,-417
5,1765,1928,163
5,1947,1495,-452
5,1529,1805,276
5,1837,1791,-46
5,1824,1884,60
5,1917,1957,40
5,2001,2158,157
5,2205,1747,-458
5,1781,2146,365
5,2192,1474,-718
5,1509,2287,778
5,2332,1972,-360
5,2019,2283,264
5,2330,1553,-777
5,1587,2043,456
5,2088,1928,-160
5,1973,1521,-452
5,1554,1560,6
5,1595,2377,782
5,2423,1948,-475
5,1993,1988,-5
5,2033,2243,210
5,2291,2228,-63
5,2272,1974,-298
5,2019,2377,358
5,2422,1449,-973
5,1484,1947,463
5,1992,2238,246
5,2283,2178,-105
5,2226,1662,-564
5,1696,1815,119
5,1850,1799,-51
5,1833,1577,-256
5,1611,1831,220
5,1866,1711,-155
5,1746,2106,360
5,2151,2000,-151
5,2045,1989,-56
5,2033,2194,161
5,2240,1622,-618
5,1655,2116,461
5,2163,2108,-55
5,2154,2105,-49
5,2150,2096,-54
5,2139,1733,-406
5,1767,1731,-36
5,1766,2131,365
5,2177,1675,-502
5,1710,2140,430
5,2187,1573,-614
5,1609,2378,769
5,2424,1770,-654
5,1803,1995,192
5,2041,1909,-132
5,1928,2300,372
5,2345,2090,-255
5,2135,1533,-602
5,1568,1846,278
5,1880,1842,-38
5,1876,2033,157
5,2080,2082,2
5,2128,1974,-154
5,2019,2016,-3
5,2060,1855,-205
5,1891,1802,-89
5,1832,1541,-291
5,1576,1691,115
5,1726,2232,506
5,2276,1570,-706
5,1605,1769,164
5,1804,2070,266
5,2116,1879,-237
5,1909,2026,117
5,2071,1449,-622
5,1483,2162,679
5,2208,1995,-213
5,2040,1749,-291
5,1783,1851,68
5,1885,1472,-413
5,1507,2240,733
5,2287,2133,-154
5,2179,1576,-603
5,1613,1624,11
5,1659,1724,65
5,1757,1675,-82
5,1709,1665,-44
5,1697,1660,-37
5,1693,1952,259
5,1997,2103,106
5,2146,1945,-201
5,1990,1848,-142
5,1881,1579,-302
5,1614,2127,513
5,2172,2220,48
5,2267,1815,-452
5,1849,2158,309
5,2205,1991,-214
5,2035,2237,202
5,2283,2075,-208
5,2118,1768,-350
5,1803,1555,-248
5,1591,1868,277
5,1902,2153,251
5,2200,2039,-161
5,2084,2343,259
5,2390,2390,0
5,2437,1972,-465
5,2017,2222,205
5,2268,1714,-554
5,1749,2112,363
5,2157,2368,211
5,2413,2309,-104
5,2353,1687,-666
5,1720,2133,413
5,2178,1969,-209
5,2013,1456,-557
5,1491,1822,331
5,1858,1651,-207
5,1686,2048,362
5,2092,1748,-344
5,1779,1903,124
5,1923,2142,219
5,2189,1837,-352
5,1869,2181,312
5,2228,2120,-108
5,2164,2224,60
5,2269,1968,-301
5,2013,1919,-94
5,1940,1707,-233
5,1740,1987,247
5,2034,2189,155
5,2234,2079,-155
5,2124,1959,-165
5,2003,2009,6
5,2054,1956,-98
5,1999,1949,-50
5,1995,1945,-50
5,1990,1585,-405
5,1619,1786,167
5,1819,1976,157
5,2020,2129,109
5,2176,2120,-56
5,2165,1560,-605
5,1595,2114,519
5,2160,1955,-205
5,2000,1906,-94
5,1924,2150,226
5,2195,1595,-600
5,1628,1857,229
5,1889,1705,-184
5,1738,1904,166
5,1923,1800,-123
5,1834,1523,-311
5,1557,1968,411
5,2013,1610,-403
5,1645,1919,274
5,1940,2166,226
