pwmcount, residuebefore, residueafter,diff,voltbefore,voltafter,voltdiff 
5,1868,2186,-318,1.505,1.761,-0.256
5,2234,1509,725,1.800,1.216,0.584
5,1544,1904,-360,1.244,1.534,-0.290
5,1923,1924,-1,1.549,1.550,-0.001
5,1968,2017,-49,1.585,1.625,-0.039
5,2062,1854,208,1.661,1.494,0.168
5,1887,1992,-105,1.520,1.605,-0.085
5,2037,2032,5,1.641,1.637,0.004
5,2075,1727,348,1.672,1.391,0.280
5,1763,1767,-4,1.420,1.423,-0.003
5,1802,1555,247,1.452,1.253,0.199
5,1589,2207,-618,1.280,1.778,-0.498
5,2252,1574,678,1.814,1.268,0.546
5,1609,2019,-410,1.296,1.626,-0.330
5,2064,1554,510,1.663,1.252,0.411
5,1587,1811,-224,1.278,1.459,-0.180
5,1844,1959,-115,1.485,1.578,-0.093
5,2003,2057,-54,1.614,1.657,-0.044
5,2102,1952,150,1.693,1.573,0.121
5,1995,2256,-261,1.607,1.817,-0.210
5,2302,1689,613,1.854,1.361,0.494
5,1723,2033,-310,1.388,1.638,-0.250
5,2076,2026,50,1.672,1.632,0.040
5,2073,2282,-209,1.670,1.838,-0.168
5,2327,1930,397,1.875,1.555,0.320
5,1949,1961,-12,1.570,1.580,-0.010
5,2006,1705,301,1.616,1.374,0.242
5,1738,1795,-57,1.400,1.446,-0.046
5,1828,2129,-301,1.473,1.715,-0.242
5,2176,1969,207,1.753,1.586,0.167
5,2012,2118,-106,1.621,1.706,-0.085
5,2164,1452,712,1.743,1.170,0.574
5,1489,1555,-66,1.200,1.253,-0.053
5,1590,2208,-618,1.281,1.779,-0.498
5,2252,1911,341,1.814,1.539,0.275
5,1932,2154,-222,1.556,1.735,-0.179
5,2200,1936,264,1.772,1.560,0.213
5,1981,1638,343,1.596,1.320,0.276
5,1671,2037,-366,1.346,1.641,-0.295
5,2082,1478,604,1.677,1.191,0.487
5,1512,2236,-724,1.218,1.801,-0.583
5,2281,1684,597,1.838,1.357,0.481
5,1719,1682,37,1.385,1.355,0.030
5,1715,1621,94,1.382,1.306,0.076
5,1655,1961,-306,1.333,1.580,-0.247
5,2005,2055,-50,1.615,1.655,-0.040
5,2099,1948,151,1.691,1.569,0.122
5,1992,1794,198,1.605,1.445,0.160
5,1827,1841,-14,1.472,1.483,-0.011
5,1874,2238,-364,1.510,1.803,-0.293
5,2282,2182,100,1.838,1.758,0.081
5,2228,1562,666,1.795,1.258,0.537
5,1595,2214,-619,1.285,1.784,-0.499
5,2258,1545,713,1.819,1.245,0.574
5,1579,1535,44,1.272,1.237,0.035
5,1570,2083,-513,1.265,1.678,-0.413
5,2128,2076,52,1.714,1.672,0.042
5,2121,2168,-47,1.709,1.747,-0.038
5,2213,1995,218,1.783,1.607,0.176
5,2040,2144,-104,1.643,1.727,-0.084
5,2188,1674,514,1.763,1.349,0.414
5,1706,1964,-258,1.374,1.582,-0.208
5,2007,2155,-148,1.617,1.736,-0.119
5,2200,1725,475,1.772,1.390,0.383
5,1759,1714,45,1.417,1.381,0.036
5,1747,1857,-110,1.407,1.496,-0.089
5,1890,1733,157,1.523,1.396,0.126
5,1765,1822,-57,1.422,1.468,-0.046
5,1855,1955,-100,1.494,1.575,-0.081
5,1999,1998,1,1.610,1.610,0.001
5,2044,1985,59,1.647,1.599,0.048
5,2029,2138,-109,1.635,1.722,-0.088
5,2184,2180,4,1.759,1.756,0.003
5,2224,1608,616,1.792,1.295,0.496
5,1641,2162,-521,1.322,1.742,-0.420
5,2208,2096,112,1.779,1.689,0.090
5,2140,1887,253,1.724,1.520,0.204
5,1921,1562,359,1.548,1.258,0.289
5,1595,2048,-453,1.285,1.650,-0.365
5,2094,2196,-102,1.687,1.769,-0.082
5,2241,1921,320,1.805,1.548,0.258
5,1965,2113,-148,1.583,1.702,-0.119
5,2160,1992,168,1.740,1.605,0.135
5,2037,1730,307,1.641,1.394,0.247
5,1765,2072,-307,1.422,1.669,-0.247
5,2115,1649,466,1.704,1.328,0.375
5,1683,1933,-250,1.356,1.557,-0.201
5,1978,1835,143,1.593,1.478,0.115
5,1868,1817,51,1.505,1.464,0.041
5,1848,1751,97,1.489,1.411,0.078
5,1784,1737,47,1.437,1.399,0.038
5,1770,2174,-404,1.426,1.751,-0.325
5,2218,1748,470,1.787,1.408,0.379
5,1782,1924,-142,1.436,1.550,-0.114
5,1970,1662,308,1.587,1.339,0.248
5,1696,1705,-9,1.366,1.374,-0.007
5,1738,2304,-566,1.400,1.856,-0.456
5,2348,2070,278,1.892,1.668,0.224
5,2114,1908,206,1.703,1.537,0.166
5,1928,1520,408,1.553,1.224,0.329
5,1554,2015,-461,1.252,1.623,-0.371
5,2057,1751,306,1.657,1.411,0.247
5,1784,2032,-248,1.437,1.637,-0.200
5,2076,1662,414,1.672,1.339,0.334
5,1695,1854,-159,1.365,1.494,-0.128
5,1887,1573,314,1.520,1.267,0.253
5,1608,1824,-216,1.295,1.469,-0.174
5,1858,1652,206,1.497,1.331,0.166
5,1683,2089,-406,1.356,1.683,-0.327
5,2135,2119,16,1.720,1.707,0.013
5,2164,2103,61,1.743,1.694,0.049
5,2147,1981,166,1.730,1.596,0.134
5,2028,1660,368,1.634,1.337,0.296
5,1693,1701,-8,1.364,1.370,-0.006
5,1734,1474,260,1.397,1.187,0.209
5,1509,2008,-499,1.216,1.618,-0.402
5,2052,1901,151,1.653,1.531,0.122
5,1922,1667,255,1.548,1.343,0.205
5,1700,2101,-401,1.369,1.693,-0.323
5,2146,1511,635,1.729,1.217,0.512
5,1544,2054,-510,1.244,1.655,-0.411
5,2099,1845,254,1.691,1.486,0.205
5,1879,1714,165,1.514,1.381,0.133
5,1749,1759,-10,1.409,1.417,-0.008
5,1791,1698,93,1.443,1.368,0.075
5,1730,2026,-296,1.394,1.632,-0.238
5,2070,1659,411,1.668,1.336,0.331
5,1692,1999,-307,1.363,1.610,-0.247
5,2045,2136,-91,1.647,1.721,-0.073
5,2180,2070,110,1.756,1.668,0.089
5,2114,2154,-40,1.703,1.735,-0.032
5,2200,1793,407,1.772,1.444,0.328
5,1827,2073,-246,1.472,1.670,-0.198
5,2118,1989,129,1.706,1.602,0.104
5,2036,2032,4,1.640,1.637,0.003
5,2074,2327,-253,1.671,1.875,-0.204
5,2372,2000,372,1.911,1.611,0.300
5,2043,1831,212,1.646,1.475,0.171
5,1863,1917,-54,1.501,1.544,-0.044
5,1936,1888,48,1.560,1.521,0.039
5,1921,1823,98,1.548,1.469,0.079
5,1856,1587,269,1.495,1.278,0.217
5,1621,1829,-208,1.306,1.473,-0.168
5,1863,2152,-289,1.501,1.734,-0.233
5,2198,1683,515,1.771,1.356,0.415
5,1715,2069,-354,1.382,1.667,-0.285
5,2114,2360,-246,1.703,1.901,-0.198
5,2406,2076,330,1.938,1.672,0.266
5,2120,2367,-247,1.708,1.907,-0.199
5,2413,1521,892,1.944,1.225,0.719
5,1555,1498,57,1.253,1.207,0.046
5,1532,2314,-782,1.234,1.864,-0.630
5,2358,1702,656,1.900,1.371,0.528
5,1735,1481,254,1.398,1.193,0.205
5,1517,1853,-336,1.222,1.493,-0.271
5,1886,1995,-109,1.519,1.607,-0.088
5,2039,1855,184,1.643,1.494,0.148
5,1887,1813,74,1.520,1.461,0.060
5,1849,1952,-103,1.490,1.573,-0.083
5,1996,1805,191,1.608,1.454,0.154
5,1838,1689,149,1.481,1.361,0.120
5,1721,2030,-309,1.386,1.635,-0.249
5,2076,1825,251,1.672,1.470,0.202
5,1860,1766,94,1.498,1.423,0.076
5,1799,1660,139,1.449,1.337,0.112
5,1694,2317,-623,1.365,1.867,-0.502
5,2361,1752,609,1.902,1.411,0.491
5,1785,2144,-359,1.438,1.727,-0.289
5,2190,1970,220,1.764,1.587,0.177
5,2013,1924,89,1.622,1.550,0.072
5,1944,2107,-163,1.566,1.697,-0.131
5,2152,1801,351,1.734,1.451,0.283
5,1834,1688,146,1.477,1.360,0.118
5,1722,2142,-420,1.387,1.726,-0.338
5,2186,2181,5,1.761,1.757,0.004
5,2228,2130,98,1.795,1.716,0.079
5,2176,1965,211,1.753,1.583,0.170
5,2008,1653,355,1.618,1.332,0.286
5,1687,2102,-415,1.359,1.693,-0.334
5,2147,2355,-208,1.730,1.897,-0.168
5,2400,1897,503,1.933,1.528,0.405
5,1916,2188,-272,1.544,1.763,-0.219
5,2232,1670,562,1.798,1.345,0.453
5,1704,1719,-15,1.373,1.385,-0.012
5,1751,2365,-614,1.411,1.905,-0.495
5,2411,1752,659,1.942,1.411,0.531
5,1785,1744,41,1.438,1.405,0.033
5,1779,1638,141,1.433,1.320,0.114
5,1673,1782,-109,1.348,1.436,-0.088
5,1815,2330,-515,1.462,1.877,-0.415
5,2376,1817,559,1.914,1.464,0.450
5,1851,2104,-253,1.491,1.695,-0.204
5,2147,1837,310,1.730,1.480,0.250
,,,0,0.000,0.000,0.000
5,2368,2057,311,1.908,1.657,0.251
5,1883,1569,314,1.517,1.264,0.253
5,1709,1823,-114,1.377,1.469,-0.092
5,2260,2146,114,1.821,1.729,0.092
,,,0,0.000,0.000,0.000
5,1851,2153,-302,1.491,1.734,-0.243
,,,0,0.000,0.000,0.000
5,1915,1819,96,1.543,1.465,0.077
5,1897,1551,346,1.528,1.249,0.279
5,1740,1699,41,1.402,1.369,0.033
5,2140,2038,102,1.724,1.642,0.082
5,2172,1704,468,1.750,1.373,0.377
5,1561,1873,-312,1.258,1.509,-0.251
5,2048,2044,4,1.650,1.647,0.003
5,2080,1615,465,1.676,1.301,0.375
5,1684,1527,157,1.357,1.230,0.126
5,2128,2274,-146,1.714,1.832,-0.118
5,1725,1968,-243,1.390,1.585,-0.196
5,1983,2240,-257,1.597,1.805,-0.207
5,1707,1496,211,1.375,1.205,0.170
5,1775,1570,205,1.430,1.265,0.165
5,2214,2107,107,1.784,1.697,0.086
5,1923,1820,103,1.549,1.466,0.083
5,1887,1788,99,1.520,1.440,0.080
5,1648,1711,-63,1.328,1.378,-0.051
5,2192,2020,172,1.766,1.627,0.139
5,1794,1955,-161,1.445,1.575,-0.130
5,1783,1946,-163,1.436,1.568,-0.131
5,1566,1622,-56,1.262,1.307,-0.045
,,,0,0.000,0.000,0.000
5,1747,1603,144,1.407,1.291,0.116
5,2158,2214,-56,1.738,1.784,-0.045
5,1680,1805,-125,1.353,1.454,-0.101
5,1984,1985,-1,1.598,1.599,-0.001
5,1869,1974,-105,1.506,1.590,-0.085
5,2224,2070,154,1.792,1.668,0.124
,,,0,0.000,0.000,0.000
5,2005,1597,408,1.615,1.287,0.329
5,1927,1539,388,1.552,1.240,0.313
5,2078,1675,403,1.674,1.349,0.325
5,1799,1915,-116,1.449,1.543,-0.093
5,2354,1741,613,1.896,1.403,0.494
,,,0,0.000,0.000,0.000
5,2102,1947,155,1.693,1.568,0.125
5,1564,2188,-624,1.260,1.763,-0.503
5,1814,2316,-502,1.461,1.866,-0.404
5,1579,2038,-459,1.272,1.642,-0.370
5,1961,1927,34,1.580,1.552,0.027
5,1845,2055,-210,1.486,1.655,-0.169
5,1781,1976,-195,1.435,1.592,-0.157
5,1489,1946,-457,1.200,1.568,-0.368
5,1926,1713,213,1.552,1.380,0.172
5,1926,2035,-109,1.552,1.639,-0.088
5,2074,2180,-106,1.671,1.756,-0.085
5,2106,2166,-60,1.697,1.745,-0.048
5,1688,1707,-19,1.360,1.375,-0.015
5,1931,1794,137,1.556,1.445,0.110
5,1913,2006,-93,1.541,1.616,-0.075
5,1822,1779,43,1.468,1.433,0.035
5,2368,1856,512,1.908,1.495,0.412
5,2083,2137,-54,1.678,1.722,-0.044
5,1548,2173,-625,1.247,1.751,-0.503
5,2157,1907,250,1.738,1.536,0.201
5,1873,2163,-290,1.509,1.742,-0.234
5,1516,1886,-370,1.221,1.519,-0.298
5,1589,2157,-568,1.280,1.738,-0.458
5,2140,2385,-245,1.724,1.921,-0.197
5,1841,2144,-303,1.483,1.727,-0.244
5,1855,2053,-198,1.494,1.654,-0.160
5,2082,2224,-142,1.677,1.792,-0.114
5,1927,1926,1,1.552,1.552,0.001
5,1940,1684,256,1.563,1.357,0.206
5,1963,1911,52,1.581,1.539,0.042
5,2334,1951,383,1.880,1.572,0.309
5,1916,2177,-261,1.544,1.754,-0.210
5,1988,2027,-39,1.602,1.633,-0.031
5,1527,1990,-463,1.230,1.603,-0.373
5,1855,1691,164,1.494,1.362,0.132
5,2078,1886,192,1.674,1.519,0.155
5,2114,2274,-160,1.703,1.832,-0.129
5,1985,1631,354,1.599,1.314,0.285
,,,0,0.000,0.000,0.000
5,1635,1902,-267,1.317,1.532,-0.215
5,1710,2164,-454,1.378,1.743,-0.366
5,1877,2241,-364,1.512,1.805,-0.293
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1755,1713,42,1.414,1.380,0.034
