pwmcount, residuebefore, residueafter,diff
5,1705,1980,275
5,2027,1488,-539
5,1523,2304,781
5,2350,2355,5
5,2402,1894,-508
5,1916,1849,-67
5,1884,2039,155
5,2084,1943,-141
5,1987,1964,-23
5,2010,1720,-290
5,1754,1980,226
5,2025,1631,-394
5,1669,2348,679
5,2396,2101,-295
5,2147,1861,-286
5,1896,1964,68
5,2009,1963,-46
5,2007,2186,179
5,2233,1496,-737
5,1531,1672,141
5,1708,2090,382
5,2138,2207,69
5,2252,1955,-297
5,1999,1968,-31
5,2012,2129,117
5,2177,2298,121
5,2346,1455,-891
5,1489,2336,847
5,2382,2010,-372
5,2055,1920,-135
5,1966,2276,310
5,2322,1525,-797
5,1560,2364,804
5,2411,1555,-856
5,1591,1786,195
5,1821,1576,-245
5,1610,1481,-129
5,1516,2109,593
5,2158,1596,-562
5,1631,1711,80
5,1745,2322,577
5,2368,1775,-593
5,1806,1962,156
5,2007,1781,-226
5,1815,1695,-120
5,1728,1857,129
5,1891,1955,64
5,2001,2388,387
5,2434,1490,-944
5,1526,1503,-23
5,1537,1469,-68
5,1504,1893,389
5,1915,1847,-68
5,1880,2368,488
5,2412,2084,-328
5,2131,1722,-409
5,1758,1932,174
5,1980,2044,64
5,2088,2252,164
5,2300,1593,-707
5,1628,1860,232
5,1892,2001,109
5,2048,2104,56
5,2150,1761,-389
5,1796,1877,81
5,1911,1924,13
5,1944,1481,-463
5,1516,2006,490
5,2052,1904,-148
5,1926,1753,-173
5,1787,1674,-113
5,1709,2344,635
5,2390,1598,-792
5,1633,1658,25
5,1693,1881,188
5,1913,2180,267
5,2226,1829,-397
5,1863,1671,-192
5,1706,1590,-116
5,1625,1757,132
5,1793,1947,154
5,1990,1599,-391
5,1634,2106,472
5,2153,2328,175
5,2372,2294,-78
5,2339,1634,-705
5,1669,2154,485
5,2201,1919,-282
5,1940,1686,-254
5,1721,1903,182
5,1921,1687,-234
5,1721,1794,73
5,1827,2142,315
5,2188,1735,-453
5,1772,2290,518
5,2340,2041,-299
5,2084,1823,-261
5,1857,2117,260
5,2161,2152,-9
5,2200,1710,-490
5,1743,1659,-84
5,1695,1883,188
5,1918,2247,329
5,2292,1902,-390
5,1920,2085,165
5,2131,1540,-591
5,1575,1710,135
5,1745,2012,267
5,2058,1881,-177
5,1913,2018,105
5,2064,1931,-133
5,1976,1898,-78
5,1918,1813,-105
5,1849,1923,74
5,1942,2182,240
5,2229,1624,-605
5,1660,1681,21
5,1714,1988,274
5,2035,1506,-529
5,1539,1727,188
5,1761,2189,428
5,2234,1635,-599
5,1670,2190,520
5,2236,2132,-104
5,2179,2040,-139
5,2085,2143,58
5,2190,2269,79
5,2315,2130,-185
5,2178,1876,-302
5,1910,1684,-226
5,1717,2261,544
5,2308,1953,-355
5,1999,2287,288
5,2334,2190,-144
5,2237,2154,-83
5,2202,1750,-452
5,1784,1469,-315
5,1502,1679,177
5,1714,1809,95
5,1846,1709,-137
5,1743,1750,7
5,1785,2206,421
5,2250,1522,-728
5,1559,1527,-32
5,1563,2157,594
5,2203,2214,11
5,2262,1780,-482
5,1814,1836,22
5,1871,1691,-180
5,1725,2149,424
5,2194,2089,-105
5,2136,2149,13
5,2195,1992,-203
5,2037,2104,67
5,2152,2089,-63
5,2136,1690,-446
5,1725,1723,-2
5,1757,1779,22
5,1813,1515,-298
5,1551,1838,287
5,1870,1616,-254
5,1649,2371,722
5,2419,1816,-603
5,1850,1960,110
5,2005,2304,299
5,2349,2205,-144
5,2253,2200,-53
5,2247,2101,-146
5,2147,2264,117
5,2311,2010,-301
5,2055,2374,319
5,2422,2066,-356
5,2113,1725,-388
5,1759,1843,84
5,1876,1876,0
5,1909,2232,323
5,2279,1556,-723
5,1593,1717,124
5,1752,1955,203
5,2000,1869,-131
5,1902,1541,-361
5,1575,1707,132
5,1740,2048,308
5,2094,2107,13
5,2152,1698,-454
5,1733,1910,177
5,1929,1910,-19
5,1929,1918,-11
5,1939,1967,28
5,2013,1894,-119
5,1914,2090,176
5,2137,1905,-232
5,1925,2201,276
5,2247,1852,-395
5,1885,2038,153
5,2084,2206,122
5,2250,1933,-317
5,1953,2236,283
5,2282,1986,-296
5,2032,2151,119
5,2200,1846,-354
5,1879,1911,32
5,1933,2125,192
5,2173,2083,-90
5,2130,1666,-464
5,1702,1932,230
5,1954,1612,-342
5,1646,1784,138
5,1817,1892,75
5,1912,2207,295
5,2251,2253,2
5,2300,2250,-50
5,2295,1543,-752
5,1579,2105,526
5,2151,2250,99
5,2297,1846,-451
5,1880,1827,-53
5,1861,2125,264
5,2172,1759,-413
5,1795,1919,124
5,1940,2140,200
5,2184,1739,-445
5,1773,1735,-38
5,1770,2156,386
5,2200,1990,-210
5,2035,1801,-234
5,1833,1980,147
5,2026,1524,-502
5,1560,1559,-1
5,1595,1625,30
5,1660,2009,349
5,2055,2384,329
5,2428,1695,-733
5,1730,2064,334
5,2108,2169,61
5,2216,2177,-39
5,2224,2088,-136
