pwmcount, residuebefore, residueafter,diff,scaling
5,1825,1687,-138,-0.37053
5,1729,1755,26,0.06981
5,1797,1977,180,0.4833
5,2021,1948,-73,-0.196005
5,1989,1589,-400,-1.074
5,1631,1865,234,0.62829
5,1905,1567,-338,-0.90753
5,1607,1739,132,0.35442
5,1779,1807,28,0.07518
5,1848,2250,402,1.07937
5,2292,2226,-66,-0.17721
5,2271,2140,-131,-0.351735
5,2183,1787,-396,-1.06326
5,1830,1901,71,0.190635
5,1948,1703,-245,-0.657825
5,1745,1669,-76,-0.20406
5,1710,1685,-25,-0.067125
5,1727,1707,-20,-0.0537
5,1747,2098,351,0.942435
5,2143,1960,-183,-0.491355
5,2001,2240,239,0.641715
5,2284,1849,-435,-1.167975
5,1889,1823,-66,-0.17721
5,1865,1903,38,0.10203
5,1952,2078,126,0.33831
5,2121,2102,-19,-0.051015
5,2143,2011,-132,-0.35442
5,2054,1815,-239,-0.641715
5,1858,2003,145,0.389325
5,2047,1557,-490,-1.31565
5,1599,1839,240,0.6444
5,1879,2217,338,0.90753
5,2261,2186,-75,-0.201375
5,2231,2296,65,0.174525
5,2339,2366,27,0.072495
5,2408,2335,-73,-0.196005
5,2379,1883,-496,-1.33176
5,1928,2164,236,0.63366
5,2207,2392,185,0.496725
5,2431,2202,-229,-0.614865
5,2244,1647,-597,-1.602945
5,1690,1875,185,0.496725
5,1917,2152,235,0.630975
5,2195,2170,-25,-0.067125
5,2214,1931,-283,-0.759855
5,1972,2162,190,0.51015
5,2206,1923,-283,-0.759855
5,1966,1935,-31,-0.083235
5,1977,1797,-180,-0.4833
5,1840,1931,91,0.244335
5,1973,1529,-444,-1.19214
5,1571,2014,443,1.189455
5,2055,2084,29,0.077865
5,2127,1901,-226,-0.60681
5,1946,1717,-229,-0.614865
5,1760,2110,350,0.93975
5,2153,1551,-602,-1.61637
5,1591,2031,440,1.1814
5,2074,1839,-235,-0.630975
5,1880,1545,-335,-0.899475
5,1588,1763,175,0.469875
5,1804,1671,-133,-0.357105
5,1715,2162,447,1.200195
5,2206,2182,-24,-0.06444
5,2227,2299,72,0.19332
5,2343,2004,-339,-0.910215
5,2047,1707,-340,-0.9129
5,1747,1827,80,0.2148
5,1869,1791,-78,-0.20943
5,1831,1659,-172,-0.46182
5,1701,1879,178,0.47793
5,1922,1535,-387,-1.039095
5,1578,1759,181,0.485985
5,1801,1783,-18,-0.04833
5,1823,1747,-76,-0.20406
5,1789,1823,34,0.09129
5,1863,2201,338,0.90753
5,2245,1793,-452,-1.21362
5,1834,1807,-27,-0.072495
5,1850,2140,290,0.77865
5,2185,1802,-383,-1.028355
5,1843,2133,290,0.77865
5,2175,1831,-344,-0.92364
5,1874,1969,95,0.255075
5,2010,2398,388,1.04178
5,2441,1950,-491,-1.318335
5,1991,1909,-82,-0.22017
5,1954,1675,-279,-0.749115
5,1717,1481,-236,-0.63366
5,1523,1859,336,0.90216
5,1902,1679,-223,-0.598755
5,1719,1964,245,0.657825
5,2005,1454,-551,-1.479435
5,1495,1527,32,0.08592
5,1569,1603,34,0.09129
5,1645,1459,-186,-0.49941
5,1499,2256,757,2.032545
5,2299,2012,-287,-0.770595
5,2054,1759,-295,-0.792075
5,1801,1996,195,0.523575
5,2038,1555,-483,-1.296855
5,1596,1679,83,0.222855
5,1723,1703,-20,-0.0537
5,1743,1815,72,0.19332
5,1856,1667,-189,-0.507465
5,1708,1953,245,0.657825
5,1996,1711,-285,-0.765225
5,1754,2097,343,0.920955
5,2142,1581,-561,-1.506285
5,1620,1650,30,0.08055
5,1691,1761,70,0.18795
5,1803,1671,-132,-0.35442
5,1714,1847,133,0.357105
5,1890,1599,-291,-0.781335
5,1643,2136,493,1.323705
5,2175,1671,-504,-1.35324
5,1715,1845,130,0.34905
5,1887,1974,87,0.233595
5,2017,1950,-67,-0.179895
5,1991,2237,246,0.66051
5,2279,1885,-394,-1.05789
5,1928,1798,-130,-0.34905
5,1840,2346,506,1.35861
5,2387,2104,-283,-0.759855
5,2146,2326,180,0.4833
5,2367,2036,-331,-0.888735
5,2078,2098,20,0.0537
5,2143,1639,-504,-1.35324
5,1681,1907,226,0.60681
5,1954,1881,-73,-0.196005
5,1928,2218,290,0.77865
5,2261,2342,81,0.217485
5,2383,1567,-816,-2.19096
5,1610,1847,237,0.636345
5,1888,1966,78,0.20943
5,2008,1819,-189,-0.507465
5,1861,1519,-342,-0.91827
5,1563,1803,240,0.6444
5,1843,1819,-24,-0.06444
5,1860,2352,492,1.32102
5,2396,1855,-541,-1.452585
5,1895,1821,-74,-0.19869
5,1861,1779,-82,-0.22017
5,1821,1858,37,0.099345
5,1899,1988,89,0.238965
5,2031,2108,77,0.206745
5,2151,1607,-544,-1.46064
5,1651,2256,605,1.624425
5,2299,2117,-182,-0.48867
5,2161,1611,-550,-1.47675
5,1652,1893,241,0.647085
5,1936,2279,343,0.920955
5,2322,2189,-133,-0.357105
5,2235,1579,-656,-1.76136
5,1620,1755,135,0.362475
5,1797,1823,26,0.06981
5,1864,1693,-171,-0.459135
5,1734,1817,83,0.222855
