ADC, K2000,INL ppm,,
-10.34430505,-10.36283293,0,m,0.998315664
-10.23243726,-10.250918,-14.13553548,c,0.001073391
-10.13487325,-10.15330697,-25.87451346,,
-10.03782736,-10.05621411,-37.5319142,,
-9.933612722,-9.951534547,-8.670570686,,
-9.829031441,-9.846841459,-15.12370525,,
-9.717159204,-9.734546926,8.191721379,,
-9.61979951,-9.637286693,-18.1362706,,
-9.515547687,-9.532654201,2.307001243,,
-9.410919141,-9.427815357,5.678416471,,
-9.306283156,-9.322948513,11.10121556,,
-9.194383651,-9.210914052,5.726447049,,
-9.104353941,-9.121106215,-31.58751098,,
-9.000339327,-9.016485493,11.40164333,,
-8.895596861,-8.911459009,22.11345367,,
-8.790859039,-8.806916776,-15.05387184,,
-8.678619114,-8.694483359,-14.64223795,,
-8.581749471,-8.597011062,29.20555137,,
-8.477128077,-8.492263914,24.13801129,,
-8.372408212,-8.38745266,15.6231736,,
-8.267804833,-8.282553094,27.5732612,,
-8.170706125,-8.185344466,22.19206124,,
-8.065980813,-8.080685,-2.020710245,,
-7.961786187,-7.976037604,25.63015126,,
-7.857185914,-7.871133268,38.36703543,,
-7.752420162,-7.766269561,30.4999629,,
-7.647779111,-7.661587279,16.99104843,,
-7.544568935,-7.557959849,41.26210649,,
-7.439789364,-7.453080127,33.61193648,,
-7.342352632,-7.355365561,44.93691956,,
-7.237585754,-7.250652076,21.96034946,,
-7.1328728,-7.145865155,11.70741026,,
-7.028817371,-7.041199742,55.0766371,,
-6.924276078,-6.936560208,47.27592283,,
-6.819453485,-6.831570057,46.34785287,,
-6.714675006,-6.72687625,20.24669721,,
-6.610687796,-6.622072402,84.25800694,,
-6.5060277,-6.517561966,51.68893711,,
-6.408933979,-6.420288765,53.25286089,,
-6.304221227,-6.31548755,44.4471141,,
-6.199588862,-6.210586871,53.60971424,,
-6.095300462,-6.106266721,39.21369497,,
-5.991033831,-6.0016031,61.28382364,,
-5.886529773,-5.896925473,61.00949323,,
-5.781681067,-5.79212812,38.22279694,,
-5.677589787,-5.687546037,69.68795934,,
-5.573317812,-5.582914323,88.03836223,,
-5.475842152,-5.485442332,71.25390309,,
-5.371494627,-5.380793706,83.73765742,,
-5.266907159,-5.276079653,78.75879164,,
-5.162173903,-5.171586122,37.18606919,,
-5.058102859,-5.066944649,76.60382832,,
-4.953469797,-4.96210514,79.59003154,,
-4.841554322,-4.849939141,85.74990762,,
-4.74415962,-4.752360758,87.68252849,,
-4.639315645,-4.6479631,25.46675427,,
-4.542292392,-4.550767164,26.36399207,,
-4.437798752,-4.44596497,39.56718038,,
-4.31866062,-4.326355224,66.58227929,,
-4.229301028,-4.236795052,71.55533637,,
-4.12468818,-4.132124074,59.73822588,,
-4.020393406,-4.027483584,76.68485059,,
-3.915875642,-3.92278071,77.56036773,,
-3.811354425,-3.818094063,76.47061805,,
-3.707215251,-3.714044712,49.96291043,,
-3.61013162,-3.616754182,54.26581542,,
-3.50611551,-3.512016038,108.8277919,,
-3.401298002,-3.40738653,72.40466636,,
-3.296953109,-3.302757794,83.16597084,,
-3.192477716,-3.198197733,74.02134249,,
-3.087814735,-3.093426516,67.19794838,,
