ADC, K2000,INL ppm,,,,,,,,,, K2000,INL1,INL2,INL3,INL4,INL ppm
-10.3450326,-10.36367108,0,m,0.998313727,,,,,,,,-10.36367108,0,0,0,0,0
-10.23314283,-10.25167397,-8.151270743,c,0.001162503,,,,,,,,-10.25167397,-6.40278171,-38.71332318,6.943359218,-14.13553548,-8.151270743
-10.1356441,-10.15410892,-17.9717021,,,,,,,,,,-10.15410892,2.147081651,-23.87843735,4.21223813,-25.87451346,-17.9717021
-10.03868459,-10.05695061,-14.47514601,,,,,,,,,,-10.05695061,-6.464535949,-0.970618014,-19.22442582,-37.5319142,-14.47514601
-9.934491759,-9.952355305,8.134529666,,,,,,,,,,-9.952355305,34.85621588,-33.00206817,7.449736774,-8.670570686,8.134529666
-9.829836193,-9.847492085,11.21712756,,,,,,,,,,-9.847492085,0.296858201,-40.43427141,10.3222747,-15.12370525,11.21712756
-9.717433412,-9.735298384,-28.60979379,,,,,,,,,,-9.735298384,-23.87728398,-55.74123043,-10.15484312,8.191721379,-28.60979379
-9.620383213,-9.638061115,-26.29965233,,,,,,,,,,-9.638061115,-32.06072752,-26.10792219,3.373264249,-18.1362706,-26.29965233
-9.516295662,-9.533467472,6.672203605,,,,,,,,,,-9.533467472,0.785328881,-49.21867388,31.33418692,2.307001243,6.672203605
-9.41162824,-9.428676659,1.340711299,,,,,,,,,,-9.428676659,17.92577264,-10.49647952,29.71836135,5.678416471,1.340711299
-9.307068666,-9.323754482,19.90826744,,,,,,,,,,-9.323754482,-4.265557047,-37.97280635,25.70688092,11.10121556,19.90826744
-9.195067704,-9.211643467,12.0085892,,,,,,,,,,-9.211643467,-8.016684466,-6.561395985,4.941029697,5.726447049,12.0085892
-9.105176873,-9.121700783,2.027096859,,,,,,,,,,-9.121700783,-34.58846221,-23.01661253,13.07329222,-31.58751098,2.027096859
-9.000656881,-9.017109566,-8.487338112,,,,,,,,,,-9.017109566,7.246113497,-15.22247082,-2.487399321,11.40164333,-8.487338112
-8.896326843,-8.912436796,8.135174855,,,,,,,,,,-8.912436796,29.29245374,18.46232089,17.97271945,22.11345367,8.135174855
